SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID,Footy Info
2026,Pre-Season,Wednesday February 25,Carlton ,Geelong Cats ,IKON Park,7.10pm,https://www.afl.com.au/afl/matches/8251,CD_M20261010101,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/carlton-vs-geelong-19148
2026,Pre-Season,Thursday February 26,Sydney Swans , GWS Giants,Henson Park,4.10pm,https://www.afl.com.au/afl/matches/8250,CD_M20261010102,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/sydney-vs-gws-19149
2026,Pre-Season,Thursday February 26, Brisbane Lions,Gold Coast Suns ,Brighton Homes Arena,7.10pm,https://www.afl.com.au/afl/matches/8252,CD_M20261010103,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/brisbane-vs-gold-coast-19150
2026,Pre-Season,Friday February 27,Melbourne , Richmond,Mars Stadium,4.10pm,https://www.afl.com.au/afl/matches/8255,CD_M20261010104,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/melbourne-vs-richmond-19151
2026,Pre-Season,Friday February 27,Western Bulldogs , Hawthorn,Mission Whitten Oval,7.10pm,https://www.afl.com.au/afl/matches/8253,CD_M20261010105,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/western-bulldogs-vs-hawthorn-19152
2026,Pre-Season,Saturday February 28, St Kilda,Essendon ,Mars Stadium,3.10pm,https://www.afl.com.au/afl/matches/8254,CD_M20261010106,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/st-kilda-vs-essendon-19153
2026,Pre-Season,Saturday February 28, Fremantle, Adelaide Crows,Rushton Park,6.10pm,https://www.afl.com.au/afl/matches/8256,CD_M20261010107,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/fremantle-vs-adelaide-19154
2026,Pre-Season,Sunday March 1,North Melbourne ,Collingwood ,Mars Stadium,3.10pm,https://www.afl.com.au/afl/matches/8257,CD_M20261010108,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/north-melbourne-vs-collingwood-19155
2026,Pre-Season,Sunday March 1, West Coast Eagles, Port Adelaide,Mineral Resources Park,6.10pm,https://www.afl.com.au/afl/matches/8258,CD_M20261010109,https://www.footyinfo.com/match/australian-football-league/2026/afl-preseason/round-1/west-coast-vs-port-adelaide-19156
2026,OPENING ROUND,Thursday March 5,Sydney Swans , Carlton, SCG ,7.30pm,https://www.afl.com.au/afl/matches/8041,CD_M20260140001,https://www.footyinfo.com/match/australian-football-league/2026/round-0/sydney-vs-carlton-18938
2026,OPENING ROUND,Friday March 6,Gold Coast Suns , Geelong Cats, People First Stadium ,8.05pm,https://www.afl.com.au/afl/matches/8042,CD_M20260140002,https://www.footyinfo.com/match/australian-football-league/2026/round-0/gold-coast-vs-geelong-18939
2026,OPENING ROUND,Saturday March 7,GWS Giants , Hawthorn, ENGIE Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8040,CD_M20260140003,https://www.footyinfo.com/match/australian-football-league/2026/round-0/gws-vs-hawthorn-18940
2026,OPENING ROUND,Saturday March 7,Brisbane Lions , Western Bulldogs, The Gabba ,7.35pm,https://www.afl.com.au/afl/matches/8043,CD_M20260140004,https://www.footyinfo.com/match/australian-football-league/2026/round-0/brisbane-vs-western-bulldogs-18941
2026,OPENING ROUND,Sunday March 8,St Kilda , Collingwood, MCG ,7.20pm,https://www.afl.com.au/afl/matches/8046,CD_M20260140005,https://www.footyinfo.com/match/australian-football-league/2026/round-0/st-kilda-vs-collingwood-18942
2026,ROUND 1,Thursday March 12,Carlton , Richmond, MCG ,7.30pm,https://www.afl.com.au/afl/matches/8045,CD_M20260140101,https://www.footyinfo.com/match/australian-football-league/2026/round-1/carlton-vs-richmond-18943
2026,ROUND 1,Friday March 13,Essendon , Hawthorn, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8044,CD_M20260140102,https://www.footyinfo.com/match/australian-football-league/2026/round-1/essendon-vs-hawthorn-18944
2026,ROUND 1,Saturday March 14,Western Bulldogs , GWS Giants, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8047,CD_M20260140103,https://www.footyinfo.com/match/australian-football-league/2026/round-1/western-bulldogs-vs-gws-18945
2026,ROUND 1,Saturday March 14,Geelong Cats , Fremantle, GMHBA Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8049,CD_M20260140104,https://www.footyinfo.com/match/australian-football-league/2026/round-1/geelong-vs-fremantle-18946
2026,ROUND 1,Saturday March 14,Sydney Swans , Brisbane Lions, SCG ,7.10pm,https://www.afl.com.au/afl/matches/8048,CD_M20260140105,https://www.footyinfo.com/match/australian-football-league/2026/round-1/sydney-vs-brisbane-18947
2026,ROUND 1,Saturday March 14,Collingwood , Adelaide Crows, MCG ,7.35pm,https://www.afl.com.au/afl/matches/8051,CD_M20260140106,https://www.footyinfo.com/match/australian-football-league/2026/round-1/collingwood-vs-adelaide-18948
2026,ROUND 1,Sunday March 15,North Melbourne , Port Adelaide, Marvel Stadium,1.10pm,https://www.afl.com.au/afl/matches/8056,CD_M20260140107,https://www.footyinfo.com/match/australian-football-league/2026/round-1/north-melbourne-vs-port-adelaide-18949
2026,ROUND 1,Sunday March 15,Melbourne , St Kilda, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8055,CD_M20260140108,https://www.footyinfo.com/match/australian-football-league/2026/round-1/melbourne-vs-st-kilda-18950
2026,ROUND 1,Sunday March 15,Gold Coast Suns , West Coast Eagles, People First Stadium ,6.10pm,https://www.afl.com.au/afl/matches/8050,CD_M20260140109,https://www.footyinfo.com/match/australian-football-league/2026/round-1/gold-coast-vs-west-coast-18951
2026,ROUND 2,Thursday March 19,Hawthorn , Sydney Swans, MCG ,7.30pm,https://www.afl.com.au/afl/matches/8052,CD_M20260140201,https://www.footyinfo.com/match/australian-football-league/2026/round-2/hawthorn-vs-sydney-18952
2026,ROUND 2,Friday March 20,Adelaide Crows , Western Bulldogs, Adelaide Oval,7.40pm,https://www.afl.com.au/afl/matches/8053,CD_M20260140202,https://www.footyinfo.com/match/australian-football-league/2026/round-2/adelaide-vs-western-bulldogs-18953
2026,ROUND 2,Saturday March 21,Richmond , Gold Coast Suns, MCG ,1.15pm,https://www.afl.com.au/afl/matches/8054,CD_M20260140203,https://www.footyinfo.com/match/australian-football-league/2026/round-2/richmond-vs-gold-coast-18954
2026,ROUND 2,Saturday March 21,GWS Giants , St Kilda, ENGIE Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8059,CD_M20260140204,https://www.footyinfo.com/match/australian-football-league/2026/round-2/gws-vs-st-kilda-18955
2026,ROUND 2,Saturday March 21,Fremantle , Melbourne, Optus Stadium ,7.35pm,https://www.afl.com.au/afl/matches/8057,CD_M20260140205,https://www.footyinfo.com/match/australian-football-league/2026/round-2/fremantle-vs-melbourne-18956
2026,ROUND 2,Sunday March 22,Port Adelaide , Essendon, Adelaide Oval,3.15pm,https://www.afl.com.au/afl/matches/8058,CD_M20260140206,https://www.footyinfo.com/match/australian-football-league/2026/round-2/port-adelaide-vs-essendon-18957
2026,ROUND 2,Sunday March 22,West Coast Eagles , North Melbourne, Optus Stadium ,6.10pm,https://www.afl.com.au/afl/matches/8060,CD_M20260140207,https://www.footyinfo.com/match/australian-football-league/2026/round-2/west-coast-vs-north-melbourne-18958
2026,ROUND 3,Thursday March 26,Geelong Cats , Adelaide Crows, GMHBA Stadium ,7.30pm,https://www.afl.com.au/afl/matches/8062,CD_M20260140301,https://www.footyinfo.com/match/australian-football-league/2026/round-3/geelong-vs-adelaide-18959
2026,ROUND 3,Friday March 27,Collingwood , GWS Giants, Marvel Stadium,7.40pm,https://www.afl.com.au/afl/matches/8064,CD_M20260140302,https://www.footyinfo.com/match/australian-football-league/2026/round-3/collingwood-vs-gws-18960
2026,ROUND 3,Saturday March 28,St Kilda , Brisbane Lions, Marvel Stadium,12.35pm,https://www.afl.com.au/afl/matches/8061,CD_M20260140303,https://www.footyinfo.com/match/australian-football-league/2026/round-3/st-kilda-vs-brisbane-18961
2026,ROUND 3,Saturday March 28,Fremantle , Richmond, Optus Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8065,CD_M20260140304,https://www.footyinfo.com/match/australian-football-league/2026/round-3/fremantle-vs-richmond-18962
2026,ROUND 3,Saturday March 28,Essendon , North Melbourne, Marvel Stadium,7.35pm,https://www.afl.com.au/afl/matches/8063,CD_M20260140305,https://www.footyinfo.com/match/australian-football-league/2026/round-3/essendon-vs-north-melbourne-18963
2026,ROUND 3,Sunday March 29,Port Adelaide , West Coast Eagles, Adelaide Oval,12.30pm,https://www.afl.com.au/afl/matches/8071,CD_M20260140306,https://www.footyinfo.com/match/australian-football-league/2026/round-3/port-adelaide-vs-west-coast-18964
2026,ROUND 3,Sunday March 29,Carlton , Melbourne, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8075,CD_M20260140307,https://www.footyinfo.com/match/australian-football-league/2026/round-3/carlton-vs-melbourne-18965
2026,ROUND 4,Thursday April 2,Brisbane Lions , Collingwood, The Gabba ,7.30pm,https://www.afl.com.au/afl/matches/8066,CD_M20260140401,https://www.footyinfo.com/match/australian-football-league/2026/round-4/brisbane-vs-collingwood-18966
2026,ROUND 4,Friday April 3,North Melbourne , Carlton, Marvel Stadium,3.15pm,https://www.afl.com.au/afl/matches/8067,CD_M20260140402,https://www.footyinfo.com/match/australian-football-league/2026/round-4/north-melbourne-vs-carlton-18967
2026,ROUND 4,Friday April 3,Adelaide Crows , Fremantle, Adelaide Oval,7.15pm,https://www.afl.com.au/afl/matches/8069,CD_M20260140403,https://www.footyinfo.com/match/australian-football-league/2026/round-4/adelaide-vs-fremantle-18968
2026,ROUND 4,Saturday April 4,Richmond , Port Adelaide, MCG ,4.15pm,https://www.afl.com.au/afl/matches/8070,CD_M20260140404,https://www.footyinfo.com/match/australian-football-league/2026/round-4/richmond-vs-port-adelaide-18969
2026,ROUND 4,Saturday April 4,West Coast Eagles , Sydney Swans, Optus Stadium ,7.35pm,https://www.afl.com.au/afl/matches/8068,CD_M20260140405,https://www.footyinfo.com/match/australian-football-league/2026/round-4/west-coast-vs-sydney-18970
2026,ROUND 4,Sunday April 5,Melbourne , Gold Coast Suns, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8074,CD_M20260140406,https://www.footyinfo.com/match/australian-football-league/2026/round-4/melbourne-vs-gold-coast-18971
2026,ROUND 4,Sunday April 5,Western Bulldogs , Essendon, Marvel Stadium,7.20pm,https://www.afl.com.au/afl/matches/8073,CD_M20260140407,https://www.footyinfo.com/match/australian-football-league/2026/round-4/western-bulldogs-vs-essendon-18972
2026,ROUND 4,Monday April 6,Hawthorn , Geelong Cats, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8077,CD_M20260140408,https://www.footyinfo.com/match/australian-football-league/2026/round-4/hawthorn-vs-geelong-18973
2026,ROUND 5,Thursday April 9,Adelaide Crows , Carlton, Adelaide Oval,7.40pm,https://www.afl.com.au/afl/matches/8072,CD_M20260140501,https://www.footyinfo.com/match/australian-football-league/2026/round-5/adelaide-vs-carlton-18974
2026,ROUND 5,Friday April 10,Collingwood , Fremantle, Adelaide Oval,7.40pm,https://www.afl.com.au/afl/matches/8076,CD_M20260140502,https://www.footyinfo.com/match/australian-football-league/2026/round-5/collingwood-vs-fremantle-18975
2026,ROUND 5,Saturday April 11,North Melbourne , Brisbane Lions, Barossa Park ,12.35pm,https://www.afl.com.au/afl/matches/8078,CD_M20260140503,https://www.footyinfo.com/match/australian-football-league/2026/round-5/north-melbourne-vs-brisbane-18976
2026,ROUND 5,Saturday April 11,Essendon , Melbourne, Adelaide Oval,1.15pm,https://www.afl.com.au/afl/matches/8079,CD_M20260140504,https://www.footyinfo.com/match/australian-football-league/2026/round-5/essendon-vs-melbourne-18977
