SEASON,ROUND,DATE,HOME TEAM,AWAY TEAM,VENUE,TIME,GAME DATA SOURCE,Match ID,DFS Match ID,Squiggle Match ID
2026,Pre-Season,Wednesday February 25,Carlton ,Geelong Cats ,IKON Park,7.10pm,https://www.afl.com.au/afl/matches/8251,CD_M20261010101,8251,n/a
2026,Pre-Season,Thursday February 26,Sydney Swans , GWS Giants,Henson Park,4.10pm,https://www.afl.com.au/afl/matches/8250,CD_M20261010102,8250,n/a
2026,Pre-Season,Thursday February 26, Brisbane Lions,Gold Coast Suns ,Brighton Homes Arena,7.10pm,https://www.afl.com.au/afl/matches/8252,CD_M20261010103,8252,n/a
2026,Pre-Season,Friday February 27,Melbourne , Richmond,Mars Stadium,4.10pm,https://www.afl.com.au/afl/matches/8255,CD_M20261010104,8255,n/a
2026,Pre-Season,Friday February 27,Western Bulldogs , Hawthorn,Mission Whitten Oval,7.10pm,https://www.afl.com.au/afl/matches/8253,CD_M20261010105,8253,n/a
2026,Pre-Season,Saturday February 28, St Kilda,Essendon ,Mars Stadium,3.10pm,https://www.afl.com.au/afl/matches/8254,CD_M20261010106,8254,n/a
2026,Pre-Season,Saturday February 28, Fremantle, Adelaide Crows,Rushton Park,6.10pm,https://www.afl.com.au/afl/matches/8256,CD_M20261010107,8256,n/a
2026,Pre-Season,Sunday March 1,North Melbourne ,Collingwood ,Mars Stadium,3.10pm,https://www.afl.com.au/afl/matches/8257,CD_M20261010108,8257,n/a
2026,Pre-Season,Sunday March 1, West Coast Eagles, Port Adelaide,Mineral Resources Park,6.10pm,https://www.afl.com.au/afl/matches/8258,CD_M20261010109,8258,n/a
2026,OPENING ROUND,Thursday March 5,Sydney Swans , Carlton, SCG ,7.30pm,https://www.afl.com.au/afl/matches/8041,CD_M20260140001,8041,38494
2026,OPENING ROUND,Friday March 6,Gold Coast Suns , Geelong Cats, People First Stadium ,8.05pm,https://www.afl.com.au/afl/matches/8042,CD_M20260140002,8042,38495
2026,OPENING ROUND,Saturday March 7,GWS Giants , Hawthorn, ENGIE Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8040,CD_M20260140003,8040,38496
2026,OPENING ROUND,Saturday March 7,Brisbane Lions , Western Bulldogs, The Gabba ,7.35pm,https://www.afl.com.au/afl/matches/8043,CD_M20260140004,8043,38497
2026,OPENING ROUND,Sunday March 8,St Kilda , Collingwood, MCG ,7.20pm,https://www.afl.com.au/afl/matches/8046,CD_M20260140005,8046,38498
2026,ROUND 1,Thursday March 12,Carlton , Richmond, MCG ,7.30pm,https://www.afl.com.au/afl/matches/8045,CD_M20260140101,8045,38499
2026,ROUND 1,Friday March 13,Essendon , Hawthorn, MCG ,7.40pm,https://www.afl.com.au/afl/matches/8044,CD_M20260140102,8044,38500
2026,ROUND 1,Saturday March 14,Western Bulldogs , GWS Giants, Marvel Stadium,1.15pm,https://www.afl.com.au/afl/matches/8047,CD_M20260140103,8047,38501
2026,ROUND 1,Saturday March 14,Geelong Cats , Fremantle, GMHBA Stadium ,4.15pm,https://www.afl.com.au/afl/matches/8049,CD_M20260140104,8049,38502
2026,ROUND 1,Saturday March 14,Sydney Swans , Brisbane Lions, SCG ,7.10pm,https://www.afl.com.au/afl/matches/8048,CD_M20260140105,8048,38503
2026,ROUND 1,Saturday March 14,Collingwood , Adelaide Crows, MCG ,7.35pm,https://www.afl.com.au/afl/matches/8051,CD_M20260140106,8051,38504
2026,ROUND 1,Sunday March 15,North Melbourne , Port Adelaide, Marvel Stadium,1.10pm,https://www.afl.com.au/afl/matches/8056,CD_M20260140107,8056,38505
2026,ROUND 1,Sunday March 15,Melbourne , St Kilda, MCG ,3.15pm,https://www.afl.com.au/afl/matches/8055,CD_M20260140108,8055,38506
2026,ROUND 1,Sunday March 15,Gold Coast Suns , West Coast Eagles, People First Stadium ,6.10pm,https://www.afl.com.au/afl/matches/8050,CD_M20260140109,8050,38507
